fab,9435047,8709,187,292
fac,9934057,10552,71,151
fad,9954756,6948,139,246
fae,9978601,8059,38,66
faf,9812733,8445,102,179
fag,9964885,10556,18,55
fba,9707867,9044,151,295
fbb,9812908,9051,33,101
fbc,9905670,7202,201,268
fbd,9675112,8453,71,112
fbe,9754724,9762,200,296
fbf,9641182,8322,20,84
fbg,9960384,7622,68,138
fca,9982858,9476,176,247
fcb,9977923,8272,9,27
fcc,9693373,8385,336,453
fcd,9996838,7024,132,272
fce,9909966,9043,151,218
fcf,9851741,8480,290,543
fcg,9779300,8410,357,522
fda,9813785,9533,50,91
fdb,9364834,10683,206,325
fdc,9913830,9411,120,217
fdd,9810884,8536,143,232
fde,9959699,9323,119,212
fdf,9967831,9006,8,24
fdg,9958775,9684,39,122
fea,9883858,9578,30,84
feb,9928790,8885,123,267
fec,9880031,6426,113,235
fed,9968136,7559,151,258
fee,9890850,8770,6,15
fef,9868599,9150,249,455
feg,9991669,9322,34,106
ffa,9917557,9197,45,80
ffb,9896235,9374,179,306
ffc,9737187,9936,182,392
ffd,9715317,8517,59,105
ffe,9872982,11597,21,71
fff,9880293,8203,164,272
ffg,9966823,9719,7,17
fga,9618166,8625,36,144
fgb,9936630,9810,273,524
fgc,9794291,10218,192,401
fgd,9813976,8110,203,274
fge,9936271,9419,227,380
fgf,9789763,9172,60,140
fgg,9670956,9929,185,293
gaa,9880972,8757,152,338
gab,9924710,9826,152,281
gac,9953698,6701,79,122
gad,9995980,8919,111,177
gae,9899313,8499,115,255
gaf,9995122,10870,116,235
gag,9693052,7894,254,491
gba,9459398,10277,74,185
gbb,9966516,8533,184,278
gbc,9749965,9367,15,35
gbd,9984854,9772,114,279
gbe,9904193,8586,47,70
gbf,9925758,10536,29,75
gbg,9957351,8659,219,357
gca,9341787,10741,161,241
gcb,9812767,7275,70,185
gcc,9772260,9511,77,191
gcd,9973074,8831,305,449
gce,9732783,7986,17,52
gcf,9558379,8861,104,143
gcg,9854293,8637,150,219
gda,9823801,9359,63,146
gdb,9875746,9035,14,32
gdc,9959108,9444,129,258
gdd,9940313,7879,22,53
gde,9692499,10859,203,319
gdf,9583368,8898,523,921
gdg,9962220,10041,106,237
gea,9910875,11202,5,11
geb,9711844,9431,63,114
gec,9930519,9735,6,21
ged,9957060,10080,31,122
gee,9918550,8723,28,54
gef,9876951,7092,91,281
geg,9698336,10349,5,11
gfa,9893192,9077,491,735
gfb,9927429,7644,75,191
gfc,9968959,9556,123,173
gfd,9506296,9227,461,949
gfe,9748846,8943,147,473
gff,9846676,7069,141,280
gfg,9815799,7383,58,94
gga,9891651,7406,69,204
ggb,9915933,10330,72,118
ggc,9564605,8353,151,306
ggd,9730689,8395,83,194
gge,9948362,9357,299,425
ggf,9814243,10897,107,280
ggg,9974289,8243,33,79
